name,img,desc,down,url,author,ibsn,year,page,category
"Programming for the Absolute Beginner, 2nd Edition",http://www.allitebooks.com/wp-content/uploads/2016/06/Programming-for-the-Absolute-Beginner-2nd-Edition-400x495.jpg,"Are you interested in learning to program computers? PROGRAMMING FOR THE ABSOLUTE BEGINNER, SECOND EDITION is a friendly guide that will teach you the fundamentals of computer programming through the hands-on (and fun!) development of computer games. This book teaches programming using Just BASIC, a free, easy-to-learn software that lets you create programs for computers running Windows. Popular author and educator Jerry Ford, Jr., teaches you fundamental programming principles and gives you a broad view of computer programming and its many possibilities. As you work through this book, you will not only learn the basics of programming, but you’ll also build a foundation from which you can advance into other programming languages with confidence. Get started programming today with PROGRAMMING FOR THE ABSOLUTE BEGINNER, SECOND EDITION.","http://file.allitebooks.com/20160613/Programming for the Absolute Beginner, 2nd Edition.pdf",http://www.allitebooks.com/programming-for-the-absolute-beginner-2nd-edition/,Jerry Lee Ford Jr.,1305504437,2015,400,Programming
Reactive Programming with RxJS,http://www.allitebooks.com/wp-content/uploads/2016/06/Reactive-Programming-with-RxJS-400x480.jpg,"Reactive programming is revolutionary. It makes asynchronous programming cleaner, intuitive, and robust. Discover how to use the RxJS library to write programs in a simpler way, unifying asynchronous mechanisms such as callbacks and promises into a single, powerful construct. Learn to think about your programs as streams of data that you can transform by expressing what should happen, instead of having to painstakingly program how it should happen. You’ll be able to handle real-world concurrency and write complex flows of events in your applications with ease. Create highly concurrent applications while writing simpler code using the Reactive Extensions for JavaScript (RxJS), a set of libraries for event composition. Programming real-world applications in JavaScript involves lots of asynchronous events–you might end up spending more time coordinating asynchronous code in your program than writing its actual functionality. This book introduces concepts and tools from reactive programming that will help you write cleaner and more robust asynchronous programs. Find out about Observable sequences, a unifying data type to write highly concurrent code. Discover Schedulers and change the concept of time in your applications, making asynchronous testing sane again. Along the way you’ll see real-world examples for the browser and Node.js, including a real-time earthquake visualization in 20 lines of code and a frantic shoot-‘em-up space videogame. You’ll also use Cycle.js – a modern, fully reactive web framework – to make a whole new breed of web applications. By the end of the book, you’ll know how to apply reactive programming to solve complex problems, build efficient programs with reactive user interfaces, and write your code more declaratively.",http://file.allitebooks.com/20160612/Reactive Programming with RxJS.pdf,http://www.allitebooks.com/reactive-programming-with-rxjs/,Sergi Mansilla,1680501291,2015,140,JavaScript
"Learning Swift, Second Edition",http://www.allitebooks.com/wp-content/uploads/1465/04575b5a82b5f8c.jpg,"Swift is Apple’s new programming language and the future of iOS and OS X app development. It is a high-performance language that feels like a modern scripting language. On the surface, Swift is easy to jump into, but it has complex underpinnings that are critical to becoming proficient at turning an idea into reality. This book is an approachable, step-by-step introduction into programming with Swift for everyone. It begins by giving you an overview of the key features through practical examples and progresses to more advanced topics that help differentiate the proficient developers from the mediocre ones. It covers important concepts such as Variables, Optionals, Closures, Generics, and Memory Management. Mixed in with those concepts, it also helps you learn the art of programming such as maintainability, useful design patterns, and resources to further your knowledge. This all culminates in writing a basic iOS app that will get you well on your way to turning your own app ideas into reality. What you will learn","http://file.allitebooks.com/20160611/Learning Swift, Second Edition.pdf",http://www.allitebooks.com/learning-swift-second-edition/,Andrew J Wagner,1785887513,2016,308,Administration
Object Oriented Programming with Swift 2,http://www.allitebooks.com/wp-content/uploads/1465/04575b5a7e117b5.jpg,"Object-Oriented Programming (OOP) is a programming paradigm based on the concept of objects; these are data structures that contain data in the form of fields, often known as attributes and code. Objects are everywhere, and so it is very important to recognize elements, known as objects, from real-world situations and know how they can easily be translated into object-oriented code. Object-Oriented Programming with Swift is an easy-to-follow guide packed full of hands-on examples of solutions to common problems encountered with object-oriented code in Swift. It starts by helping you to recognize objects using real-life scenarios and demonstrates how working with them makes it simpler to write code that is easy to understand and reuse. You will learn to protect and hide data with the data encapsulation features of Swift. Then, you will explore how to maximize code reuse by writing code capable of working with objects of different types. After that, you’ll discover the power of parametric polymorphism and will combine generic code with inheritance and multiple inheritance. Later, you move on to refactoring your existing code and organizing your source for easy maintenance and extensions. By the end of the book, you will be able to create better, stronger, and more reusable code, which will help you build better applications. What You Will Learn",http://file.allitebooks.com/20160611/Object Oriented Programming with Swift 2.pdf,http://www.allitebooks.com/object-oriented-programming-with-swift-2/,Gaston C. Hillar,1785885693,2016,332,Swift
Swift 2 Cookbook,http://www.allitebooks.com/wp-content/uploads/1465/04575b5a797d1f6.jpg,"Swift is Apple’s innovative development language that was introduced at the WWDC (WorldWide Developers Conference) 2014 alongside Xcode 6 and iOS 8. This user-friendly language is packed with modern features to make programming easier and fun, with a lot of flexibility. With Swift 2 comes even better performance, a new error handling API, protocol extensions, and super support for availability checking. This book will equip you with all the practical programming aspects of Swift 2. It covers the important features and paradigms that Swift provides to developers. You will begin by installing Xcode from the App Store and using Swift as an interpreter. Then, you will see how you can upgrade your existing Swift 1.2 code to Swift 2.0 with the help of Xcode. You will see how to use structs and generics, and work with different Design Patterns with Swift. Debug and test your code using Xcode and see how to use assembly code effectively with Swift. By the end of this book, you will have the necessary skills to get the most out of Swift to develop effective mobile and web applications. What you will learn",http://file.allitebooks.com/20160611/Swift 2 Cookbook.pdf,http://www.allitebooks.com/swift-2-cookbook/,Kyle Begeman,1785889214,2016,400,Swift
Kali Linux Web Penetration Testing Cookbook,http://www.allitebooks.com/wp-content/uploads/1465/04575b5a74c88c4.jpg,"Web applications are a huge point of attack for malicious hackers and a critical area for security professionals and penetration testers to lock down and secure. Kali Linux is a Linux-based penetration testing platform and operating system that provides a huge array of testing tools, many of which can be used specifically to execute web penetration testing. This book will teach you, in the form step-by-step recipes, how to detect a wide array of vulnerabilities, exploit them to analyze their consequences, and ultimately buffer attackable surfaces so applications are more secure, for you and your users. Starting from the setup of a testing laboratory, this book will give you the skills you need to cover every stage of a penetration test: from gathering information about the system and the application to identifying vulnerabilities through manual testing and the use of vulnerability scanners to both basic and advanced exploitation techniques that may lead to a full system compromise. Finally, we will put this into the context of OWASP and the top 10 web application vulnerabilities you are most likely to encounter, equipping you with the ability to combat them effectively. By the end of the book, you will have the required skills to identify, exploit, and prevent web application vulnerabilities. What you will learn",http://file.allitebooks.com/20160611/Kali Linux Web Penetration Testing Cookbook.pdf,http://www.allitebooks.com/kali-linux-web-penetration-testing-cookbook/,Gilberto Najera-Gutierrez,178439291X,2016,296,Linux & Unix
Protocol Oriented Programming with Swift,http://www.allitebooks.com/wp-content/uploads/1465/04575b5a701635a.jpg,"At the heart of Swift’s design is an incredibly powerful idea: protocol-oriented programming. Its many benefits include better code maintainability, increased developer productivity and superior application performance. The book will teach the reader how to apply the ideas behind the protocol oriented programing paradigm to improve the code they write. This book will introduce the readers to the world of protocol-oriented programming in Swift and will demonstrate the ideas behind this new programming paradigm with real world examples. In addition to learning the concepts of Protocol Oriented programming, it also shows the reader how to reduce the complexity of their codebase using protocol extensions. Beginning with how to create simple protocols, readers will learn how to extend protocols and also to assign behaviors to them. By the end of this book readers will be able to harness the power of protocol-oriented programming to build real world applications. What you will learn",http://file.allitebooks.com/20160611/Protocol Oriented Programming with Swift.pdf,http://www.allitebooks.com/protocol-oriented-programming-with-swift/,Jon Hoffman,1785882945,2016,212,Swift
Julia High performance,http://www.allitebooks.com/wp-content/uploads/1465/04575b5a6b66912.jpg,"Julia is a high performance, high-level dynamic language designed to address the requirements of high-level numerical and scientific computing. Julia brings solutions to the complexities faced by developers while developing elegant and high performing code. Julia High Performance will take you on a journey to understand the performance characteristics of your Julia programs, and enables you to utilize the promise of near C levels of performance in Julia. You will learn to analyze and measure the performance of Julia code, understand how to avoid bottlenecks, and design your program for the highest possible performance. In this book, you will also see how Julia uses type information to achieve its performance goals, and how to use multuple dispatch to help the compiler to emit high performance machine code. Numbers and their arrays are obviously the key structures in scientific computing – you will see how Julia’s design makes them fast. The last chapter will give you a taste of Julia’s distributed computing capabilities. What you will learn",http://file.allitebooks.com/20160611/Julia High performance.pdf,http://www.allitebooks.com/julia-high-performance/,Avik Sengupta,1785880918,2016,132,Programming
Mastering SciPy,http://www.allitebooks.com/wp-content/uploads/1465/04575b5a66b4d71.jpeg,"The SciPy stack is a collection of open source libraries of the powerful scripting language Python, together with its interactive shells. This environment offers a cutting-edge platform for numerical computation, programming, visualization and publishing, and is used by some of the world’s leading mathematicians, scientists, and engineers. This book goes beyond a mere description of the different built-in functions coded in the libraries from the SciPy stack. It presents you with a solid mathematical and computational background to help you identify the right tools for each problem in scientific computing and visualization. You will gain an insight into the best practices with numerical methods depending on the amount or type of data, properties of the mathematical tools employed, or computer architecture, among other factors. What You Will Learn",http://file.allitebooks.com/20160611/Mastering SciPy.pdf,http://www.allitebooks.com/mastering-scipy/,Francisco J. Blanco-Silva,1783984740,2015,404,Datebases
"Learning IPython for Interactive Computing and Data Visualization, Second Edition",http://www.allitebooks.com/wp-content/uploads/1465/04575b5a621861a.jpg,"Python is a user-friendly and powerful programming language. IPython offers a convenient interface to the language and its analysis libraries, while the Jupyter Notebook is a rich environment well-adapted to data science and visualization. Together, these open source tools are widely used by beginners and experts around the world, and in a huge variety of fields and endeavors. This book is a beginner-friendly guide to the Python data analysis platform. After an introduction to the Python language, IPython, and the Jupyter Notebook, you will learn how to analyze and visualize data on real-world examples, how to create graphical user interfaces for image processing in the Notebook, and how to perform fast numerical computations for scientific simulations with NumPy, Numba, Cython, and ipyparallel. By the end of this book, you will be able to perform in-depth analyses of all sorts of data. Python is a user-friendly and powerful programming language. IPython offers a convenient interface to the language and its analysis libraries, while the Jupyter Notebook is a rich environment well-adapted to data science and visualization. Together, these open source tools are widely used by beginners and experts around the world, and in a huge variety of fields and endeavors. This book is a beginner-friendly guide to the Python data analysis platform. After an introduction to the Python language, IPython, and the Jupyter Notebook, you will learn how to analyze and visualize data on real-world examples, how to create graphical user interfaces for image processing in the Notebook, and how to perform fast numerical computations for scientific simulations with NumPy, Numba, Cython, and ipyparallel. By the end of this book, you will be able to perform in-depth analyses of all sorts of data. What You Will Learn","http://file.allitebooks.com/20160611/Learning IPython for Interactive Computing and Data Visualization, Second Edition.pdf",http://www.allitebooks.com/learning-ipython-for-interactive-computing-and-data-visualization-second-edition/,Cyrille Rossant,1783986980,2015,200,Python
Mac OS X for Absolute Beginners,http://www.allitebooks.com/wp-content/uploads/1465/17575a06e59df79.jpg,"If you’ve ever felt that you couldn’t learn how to use a Mac, this is your opportunity to give it a go. What you’ll learn",http://file.allitebooks.com/20160610/Mac OS X for Absolute Beginners.pdf,http://www.allitebooks.com/mac-os-x-for-absolute-beginners/,Wallace Wang,1484219120,2016,580,Macintosh
Migrating Large-Scale Services to the Cloud,http://www.allitebooks.com/wp-content/uploads/1465/305758b136b75ed.jpg,"This book reveals the technical challenges and successful implementation details of migrating MSN, Microsoft’s consumer content portal–a business with 450 million worldwide users–into the Cloud. Following a technique long used in aviation, medicine, and other fields, MSN’s Chief Technical Officer, Eric Passmore, describes the set of release, deployment, monitoring, and mitigation checklists used to build cloud services supporting hundreds of millions of users on Azure, Microsoft’s Public Cloud. An undertaking of this scale–involving services supported by a large team of engineers–involves unique challenges and risks. This book demonstrates through personal experience how to cut through the theory and provides checklists as a surprisingly simple antidote to the competing methodologies. This book works at two levels. It contains simple to follow, “how-to” information on cloud migration. It is a reference guide to achieving success, and any team can modify these tasks to fit the needs of their own organization.",http://file.allitebooks.com/20160609/Migrating Large-Scale Services to the Cloud.pdf,http://www.allitebooks.com/migrating-large-scale-services-to-the-cloud/,Eric Passmore,1484218728,2016,122,Networking
Rolling Out 5G,http://www.allitebooks.com/wp-content/uploads/1465/305758b1322641a.jpg,"Rolling Out 5G: Use Cases, Applications, and Technology Solutions describes insufficiencies and challenges of 4G in the light of impending and crucial future communication needs, details lessons learned from an implementation and system operation background, and illustrates the way towards the next generation – 5G. Key changes and additions to 5G in terms of use cases, applications for and explorations of the technology are discussed. Among all of the technological disruptions, two stand out in particular – mmWave and spectrum sharing technologies. This book features detailed coverage of these two critical topics, and for the first time among 5G learning resources presents a holistic perspective on key ingredients for mobile communication in a 5G world. The authors represent highly experienced experts with valuable know-how in the field of wireless communications related research projects defining future technological trends. This unique group of talents will be able to consider the 5G technology evolution from all angles mentioned: long-term research, standardization and regulation, product design and marketization. This approach allows this much-needed book to capture the views of all key decision making stake-holders involved in the 5G definition process, and to serve readers in their roles connected with wireless communication’s next generation of prroducts and services.",http://file.allitebooks.com/20160609/Rolling Out 5G.pdf,http://www.allitebooks.com/rolling-out-5g/,"Biljana Badic , Christian Drewes , Ingolf Karls , Markus Mueck",1484215079,2016,138,Computer Science
"AutoCAD For Dummies, 17th Edition",http://www.allitebooks.com/wp-content/uploads/1465/305758b12d72d43.jpg,"AutoCAD may be complex, but this book is not! This expert author shows you how to navigate the interface, set up a project, create drawings, manage properties, and enhance your designs with text and dimensions. Once you master the basics, he’ll guide you through advanced tools such as blocks, arrays, and xrefs, all the way to 3D modeling. Inside…","http://file.allitebooks.com/20160609/AutoCAD For Dummies, 17 edition.pdf",http://www.allitebooks.com/autocad-for-dummies-17th-edition/,Bill Fane,1119255791,2016,544,CAD
OS X App Development with CloudKit and Swift,http://www.allitebooks.com/wp-content/uploads/1465/3557573facd4822.jpg,"This book is your step-by-step guide to learning OS X app development using CloudKit and Swift. All the development will be done using Apple’s Swift 2 programming language. You’ll see how to define data for your app and build a prototype with Sketch 3 and Keynote. Using CloudKit to store OS X application data, and separate public and private data, readers will learn how to control which data can or cannot be changed in a public data store.OS X App Development with CloudKit and Swift takes you from prototyping your app with Sketch 3 all the way through building a data-driven app using CloudKit, and everything in between.",http://file.allitebooks.com/20160607/OS X App Development with CloudKit and Swift.pdf,http://www.allitebooks.com/os-x-app-development-with-cloudkit-and-swift/,Bruce Wade,1484218795,2016,131,Swift
CoffeeScript in Action,http://www.allitebooks.com/wp-content/uploads/1465/3557573fa841967.jpeg,"CoffeeScript in Action is a tutorial that teaches you how, where, and why to use CoffeeScript. It begins by quickly exposing you to CoffeeScript’s new, but instantly-familiar syntax. Then, you’ll explore programming challenges that illustrate CoffeeScript’s unique advantages. Language junkies will especially appreciate how this book takes idioms from other programming languages and shows you how CoffeeScript makes them available in JavaScript.",http://file.allitebooks.com/20160607/CoffeeScript in Action.pdf,http://www.allitebooks.com/coffeescript-in-action/,"Nick Marino , Patrick Lee",1617290629,2014,432,Ruby
Beginning Haskell,http://www.allitebooks.com/wp-content/uploads/1465/3557573fa39cae3.jpeg,"Beginning Haskell provides a broad-based introduction to the Haskell language, its libraries and environment, and to the functional programming paradigm that is fast growing in importance in the software industry. The book takes a project-based approach to learning the language that is unified around the building of a web-based storefront. Excellent coverage is given to the Haskell ecosystem and supporting tools. These include the Cabal build tool for managing projects and modules, the HUnit and QuickCheck tools for software testing, the Scotty framework for developing web applications, Persistent and Esqueleto for database access, and also parallel and distributed programming libraries. Functional programming is gathering momentum, allowing programmers to express themselves in a more concise way, reducing boilerplate and increasing the safety of code. Indeed, mainstream languages such as C# and Java are adopting features from functional programming, and from languages implementing that paradigm. Haskell is an elegant and noise-free pure functional language with a long history, having a huge number of library contributors and an active community. This makes Haskell the best tool for both learning and applying functional programming, and Beginning Haskell the perfect book to show off the language and what it can do.",http://file.allitebooks.com/20160607/Beginning Haskell.pdf,http://www.allitebooks.com/beginning-haskell/,Alejandro Serrano Mena,1430262508,2014,300,Programming
Spring Python 1.1,http://www.allitebooks.com/wp-content/uploads/1465/3557573f96319a2.jpg,"The book is an introduction to Spring Python. It starts with simple practical applications, moving on to more advanced applications with two advanced case studies at the end of the book. It is packed with screenshots, examples, and ready-to-use code making it very suitable for a beginner while also showing tactics and concepts suitable for the most experienced developers. Each chapter starts with a simple problem to solve, and then dives into how Spring Python provides the solution with step-by-step code samples. Along the way, screenshots and diagrams are used to show critical parts of the solution. The case studies start off with a handful of use cases, and then proceed step-by-step to incrementally develop features. Some use cases are left to the reader to implement as an exercise. Key problems discovered along the way are exposed and then solved, giving the reader the chance to solve them, or to read the author’s solutions. This book is for Python developers who want to take their applications to the next level, by adding/using parts that scale their application up, without adding unnecessary complexity. It is also helpful for Java developers who want to mix in some Python to speed up their coding effort.",http://file.allitebooks.com/20160607/Spring Python 1.1.pdf,http://www.allitebooks.com/spring-python-1-1/,Greg Lee Turnquist,1849510660,2010,264,Python
Spring Roo 1.1 Cookbook,http://www.allitebooks.com/wp-content/uploads/1465/3557573f917e16e.jpeg,"This is a cookbook full of recipes with the essential code explained clearly and comprehensively. The recipes are organized so well that you will have no problems in using this cookbook as a reference too. Spring Roo 1.1 Cookbook is for developers new to the Spring Roo tool but with experience developing applications using Spring framework, AspectJ, JPA, GWT, and technologies/frameworks supported by Spring Roo. If you are new to the Spring framework, then it is recommended to refer to a text covering Spring, before reading this Cookbook.",http://file.allitebooks.com/20160607/Spring Roo 1.1 Cookbook.pdf,http://www.allitebooks.com/spring-roo-1-1-cookbook/,Ashish Sarin,1849514585,2011,460,Java
